,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Friday, 8 February 2019",14,410,348,373,470,146,,32,749,685,96,,112,49,225,628,312,,477,21,934,370,,1034,919,1017,169,308,50,1430,1703,15,44,314,38,302,422,1735,287,917,114,165,314,187,321
"Saturday, 9 February 2019",27,132,130,368,206,157,,37,308,360,52,,83,42,93,318,371,,453,16,493,640,,326,652,868,238,366,68,958,1004,23,29,193,28,203,211,1428,142,924,177,331,136,102,282
"Sunday, 10 February 2019",22,337,109,492,228,137,,74,325,464,41,,77,40,63,323,427,,476,48,502,706,,388,678,1306,199,638,54,1183,997,18,27,178,34,315,199,1705,172,892,268,434,138,99,424
"Monday, 11 February 2019",16,490,445,312,589,135,,41,899,742,93,,94,63,252,765,420,,517,13,1058,413,,1174,911,1090,191,333,71,1694,1754,11,41,344,53,301,522,1816,318,908,250,164,346,171,328
"Tuesday, 12 February 2019",24,501,442,371,569,153,,54,868,695,99,,105,58,266,747,412,,598,8,996,454,,1105,1296,1158,214,364,65,1682,1806,8,39,348,44,320,494,1918,320,829,135,238,356,190,327
"Wednesday, 13 February 2019",7,444,437,384,562,154,,34,895,646,107,,98,43,262,754,515,,557,14,998,456,,1124,1286,1138,205,353,63,1747,2047,11,50,337,48,293,536,1942,273,964,145,191,367,203,353
"Thursday, 14 February 2019",4,483,406,386,512,139,,30,813,706,111,,118,50,263,695,386,,504,7,973,468,,1104,784,975,185,318,76,1718,1891,15,58,349,45,298,521,1958,272,985,172,164,356,158,278
"Friday, 15 February 2019",19,415,368,363,494,125,,61,782,618,107,,122,49,231,589,376,,499,19,895,377,,985,1479,914,201,327,71,1514,1924,14,41,311,43,276,439,1749,269,1001,99,147,333,192,258
"Saturday, 16 February 2019",38,278,167,331,170,161,,54,309,307,52,,80,26,96,377,408,,492,52,425,577,,288,706,771,184,383,82,979,959,9,40,194,54,212,231,1334,127,786,227,380,142,168,265
"Sunday, 17 February 2019",33,311,111,405,200,129,,51,312,398,56,,83,17,70,339,402,,432,54,458,670,,352,798,1128,193,508,44,1117,990,17,32,216,42,287,181,1520,224,818,293,399,124,92,384
"Monday, 18 February 2019",24,383,368,266,454,122,,33,698,568,103,,97,48,215,568,385,,497,15,827,311,,926,1358,895,200,393,66,1424,1490,16,38,271,57,210,377,1646,218,766,152,119,269,151,264
"Tuesday, 19 February 2019",19,522,496,388,554,178,,40,895,721,107,,105,66,273,727,437,,608,6,1051,485,,1170,1895,1198,253,355,84,1690,1785,17,56,414,54,326,531,1991,301,915,189,266,376,177,322
"Wednesday, 20 February 2019",19,464,424,347,558,141,,51,894,700,110,,91,67,251,686,404,,646,21,990,422,,1067,1835,1216,175,414,59,1550,1663,10,45,359,68,293,500,1759,268,819,172,190,333,183,371
"Thursday, 21 February 2019",6,437,430,361,515,138,,53,903,640,112,,113,59,261,678,422,,576,3,937,417,,1048,1660,1026,172,312,81,1496,1788,7,56,333,41,299,494,1697,260,826,141,161,376,155,350
"Friday, 22 February 2019",8,214,235,239,265,72,,18,499,350,103,,107,43,197,372,216,,335,2,460,179,,557,828,464,92,209,57,800,1012,10,36,162,11,122,283,1048,151,497,59,62,243,116,129
"Saturday, 23 February 2019",27,95,105,227,131,155,,31,228,168,43,,74,28,78,262,240,,287,10,229,404,,164,382,562,126,257,43,567,464,5,19,126,19,187,162,909,83,504,174,221,88,110,178
"Sunday, 24 February 2019",30,220,86,254,166,115,,58,218,277,46,,78,17,70,246,290,,302,30,397,405,,280,667,709,123,407,36,728,630,19,35,186,25,308,135,1021,155,632,221,286,155,75,355
"Monday, 25 February 2019",23,478,406,304,523,126,,48,861,662,93,,93,46,260,638,407,,482,15,976,348,,1093,1736,988,199,352,57,1463,1414,14,36,347,54,248,524,1571,266,769,191,134,346,206,271
"Tuesday, 26 February 2019",17,517,491,417,558,199,,57,968,728,98,,108,50,271,721,463,,632,18,1075,386,,1159,1916,1206,220,359,52,1653,1543,13,57,378,59,298,554,1998,300,926,126,283,395,182,357
"Wednesday, 27 February 2019",12,437,453,369,567,165,,57,925,678,116,,102,34,258,718,487,,613,11,1106,420,,1127,1926,1124,220,351,46,1573,1464,12,51,338,48,335,531,1766,299,952,195,213,361,160,358
"Thursday, 28 February 2019",30,472,408,349,530,156,,31,871,692,105,,121,43,256,667,367,,510,16,987,356,,1063,1736,947,167,254,53,1461,1388,11,54,346,52,285,438,1727,269,850,251,152,385,187,321
"Friday, 1 March 2019",16,495,356,344,480,127,,58,772,538,113,,108,49,235,545,315,,462,12,976,392,,987,1533,832,192,341,56,1285,1328,13,51,291,40,242,432,1469,236,836,213,132,314,198,263
"Saturday, 2 March 2019",23,251,112,416,202,150,,43,337,397,66,,81,36,42,374,409,,474,21,438,774,,366,774,968,338,402,52,1030,921,10,29,182,27,284,216,1472,172,814,205,321,117,101,311
"Sunday, 3 March 2019",23,242,94,367,200,158,,47,285,349,48,,78,82,54,291,481,,420,50,419,711,,291,736,985,231,553,79,653,642,13,22,198,21,302,197,915,164,647,282,382,140,106,381
"Monday, 4 March 2019",39,496,396,337,542,141,,43,899,687,136,,93,67,222,750,381,,457,13,949,374,,1094,1734,978,183,300,59,1561,1479,15,42,338,57,266,582,1712,290,872,541,147,377,182.4,317
"Tuesday, 5 March 2019",10,596,457,347,580,179,,46,957,749,119,,103,49,296,852,423,,575,15,979,403,,1142,1834,1072,237,342,64,1596,1473,11,50,345,49,327,581,1890,302,891,153,220,356,192.4,359
"Wednesday, 6 March 2019",19,545,404,425,565,165,,48,981,791,128,,91,44,248,782,510,,565,7,964,440,,1082,1760,1036,192,316,70,1565,1480,21,46,345,54,374,551,1770,303,914,196,178,358,163.8,364
"Thursday, 7 March 2019",2,543,422,363,520,169,,32,876,667,119,,106,32,263,681,445,,466,11,858,395,,1065,1682,885,210,250,69,1542,1620,14,61,355,53,258,545,1652,254,821,225,135,327,182.4,290
"Friday, 8 March 2019",1,327,287,239,354,100,,21,582,457,93,,81,62,202,449,272,,373,14,611,219,,695,1025,541,139,200,69,948,1085,6,33,185,29,125,366,1128,185,524,155,64,270,117.6,164
"Saturday, 9 March 2019",10,96,61,116,89,100,,23,177,130,30,,54,75,50,182,176,,196,19,150,283,,137,265,273,108,201,56,304,416,10,14,60,12,84,95,578,47,309,106,183,80,60.6,111
"Sunday, 10 March 2019",24,299,96,422,196,161,,52,293,403,35,,87,45,74,317,377,,443,32,436,687,,334,917,1153,197,558,51,1041,1045,14,34,208,29,278,157,1524,188,811,263,418,110,120.4,405
"Monday, 11 March 2019",8,531,384,321,592,143,,65,907,733,132,,93,70,251,712,370,,454,24,936,349,,1106,1709,1054,181,292,45,1553,1667,7,46,323,46,278,551,1701,314,818,213,136,372,177.4,309
"Tuesday, 12 March 2019",4,615,482,363,601,177,,54,1030,765,146,,122,44,284,748,380,,528,15,969,408,,1115,1825,1128,154,373,71,1499,1830,13,57,373,34,281,584,1822,312,866,146,196,378,188.4,298
"Wednesday, 13 March 2019",9,578,432,361,591,166,,54,1023,741,132,,115,39,273,734,373,,532,18,903,404,,1079,1743,1044,193,343,74,1526,1801,12,51,333,42,298,614,1693,291,878,139,145,362,196.8,331
"Thursday, 14 March 2019",2,547,418,405,549,168,,45,922,696,133,,109,33,264,677,405,,493,11,837,439,,1044,1657,974,194,303,55,1444,1709,18,51,322,33,273,565,1733,281,871,116,137,350,160.4,256
"Friday, 15 March 2019",9,481,328,362,457,124,,38,836,648,136,,93,74,260,639,300,,476,12,774,294,,929,1473,844,176,312,65,1274,1660,15,60,301,38,226,476,1512,217,819,153,110,322,205.4,249
"Saturday, 16 March 2019",18,203,118,321,171,130,,44,356,256,55,,76,60,110,331,351,,412,58,361,533,,291,652,779,209,351,85,816,989,14,41,167,28,197,201,1253,116,673,278,313,141,103,289
"Sunday, 17 March 2019",20,227,92,360,180,120,,51,254,360,28,,77,63,82,274,320,,467,50,427,634,,347,662,917,195,579,63,900,1024,15,50,148,36,271,196,1313,159,761,265,324,115,103,318
"Monday, 18 March 2019",19,492,383,295,555,120,,37,883,668,119,,108,51,263,618,322,,409,26,923,306,,1017,1612,880,161,324,64,1412,1588,11,50,292,33,213,533,1444,263,761,103,117,304,178.2,287
"Tuesday, 19 March 2019",26,501,421,315,501,96,,55,816,637,139,,102,34,248,638,294,,419,16,859,274,,1006,1475,848,145,215,72,1258,1431,14,40,297,31,234,502,1402,231,671,71,131,325,160.6,243
"Wednesday, 20 March 2019",36,544,387,333,499,163,,45,906,675,127,,119,29,274,720,388,,575,17,951,408,,1055,1614,1013,177,343,64,1549,1796,11,45,307,40,266,505,1669,308,851,105,136,314,185.8,282
"Thursday, 21 March 2019",5,576,455,390,538,184,,39,920,725,125,,109,34,248,769,397,,472,20,894,366,,1108,1679,1047,166,337,71,1524,1878,22,80,361,44,239,567,1743,251,992,140,182,370,187.6,293
"Friday, 22 March 2019",25,378,362,325,492,116,,43,874,564,118,,110,46,233,654,376,,508,8,725,327,,885,1362,751,176,346,64,1281,1702,30,49,273,43,182,475,1434,247,688,135,121,310,155.2,220
"Saturday, 23 March 2019",11,264,147,367,189,129,,42,363,297,48,,97,56,81,380,423,,366,37,363,642,,300,693,664,195,372,57,798,1033,14,34,145,35,252,198,1236,118,596,197,279,151,112.2,306
"Sunday, 24 March 2019",52,299,109,361,201,91,,49,273,386,30,,66,23,98,294,376,,352,33,468,580,,350,699,713,141,436,53,919,996,12,52,156,21,262,199,1356,135,737,274,299,141,116.2,285
"Monday, 25 March 2019",22,526,404,352,559,134,,32,918,706,136,,108,12,262,712,362,,465,9,987,351,,1135,1683,991,143,322,85,1477,1575,14,49,321,45,230,555,1540,288,828,198,136,376,171.4,279
"Tuesday, 26 March 2019",1,570,463,374,587,173,,45,998,733,117,,121,47,290,798,437,,550,18,1007,401,,1206,1702,1018,169,311,71,1530,1834,11,52,350,42,254,625,1924,273,856,123,199,355,164.6,305
"Wednesday, 27 March 2019",13,488,417,353,530,142,,44,934,629,128,,96,38,299,706,493,,529,23,965,395,,1129,1690,943,97,322,79,1531,1755,14,56,322,48,266,584,1554,277,913,179,124,378,174.6,279
"Thursday, 28 March 2019",8,387,298,233,428,94,,22,732,534,110,,127,54,215,551,256,,366,2,664,261,,781,1259,668,121,164,49,1049,1428,12,55,225,27,173,466,1157,206,907,76,86,282,141.2,199
"Friday, 29 March 2019",16,352,303,296,456,110,,32,741,512,125,,102,49,220,612,314,,423,37,750,288,,915,1280,690,111,187,76,1124,1714,15,48,273,34,191,444,1345,226,731,190,98,295,192,217
